14:37:43 server starting
14:37:47 network working
14:38:01 BAT State.Discharging 78
14:40:13 BAT State.Discharging 77
14:44:14 BAT State.Discharging 76
14:47:14 BAT State.Discharging 75
14:50:14 BAT State.Discharging 74
14:53:14 BAT State.Discharging 73
14:56:15 BAT State.Discharging 72
14:59:15 BAT State.Discharging 71
15:03:16 BAT State.Discharging 70
15:06:16 BAT State.Discharging 69
15:09:16 BAT State.Discharging 68
15:12:16 BAT State.Discharging 67
15:15:17 BAT State.Discharging 66
15:18:17 BAT State.Discharging 65
15:21:17 BAT State.Discharging 64
15:24:17 BAT State.Discharging 63
15:28:18 BAT State.Discharging 62
